age, workclass, education, marital-status, relationship, race, sex, hours-per-week, income
19,0,1,1,3,0,1,32,2
31,0,1,1,3,1,2,40,2
29,3,1,0,0,0,1,70,1
23,0,1,1,1,0,1,40,2
79,0,1,0,1,0,1,20,2
27,0,1,1,3,0,1,40,2
40,0,1,0,0,0,1,40,2
67,2,0,0,0,0,1,2,2
18,0,0,1,3,0,2,22,2
31,1,0,0,0,0,1,40,2
18,0,1,1,1,0,1,30,2
52,0,1,0,0,0,1,40,2
46,0,1,0,0,0,2,40,2
59,0,1,0,0,0,1,48,2
44,0,1,1,1,0,2,40,1
53,0,1,1,3,0,2,35,2
49,1,1,0,0,0,1,40,1
33,0,1,0,0,0,1,50,2
30,0,0,1,1,0,1,40,2
43,1,1,1,1,0,2,50,1
57,0,1,0,0,0,1,40,2
37,0,1,1,2,0,2,40,2
28,0,1,1,2,1,2,25,2
30,0,1,0,0,2,2,35,2
34,1,1,0,0,0,1,40,1
29,1,1,1,1,0,1,50,2
48,3,1,0,0,0,1,60,1
37,0,1,0,0,0,1,48,1
48,0,1,1,2,0,2,40,2
32,1,1,1,3,1,1,40,2
76,0,1,0,0,0,1,40,1
44,0,1,0,0,0,1,60,1
47,3,1,1,1,0,2,50,2
20,0,1,1,3,0,2,40,2
29,0,1,1,1,0,1,40,2
32,3,1,0,0,0,1,40,1
17,2,0,1,3,0,2,32,2
30,0,0,1,3,0,1,40,2
31,1,1,1,1,0,2,40,2
42,0,1,0,0,0,1,40,2
24,0,1,1,1,0,1,40,2
38,0,1,0,0,0,1,40,1
56,3,1,0,0,0,1,50,1
28,0,1,0,0,0,2,25,2
36,0,1,1,3,0,2,40,2
53,0,0,0,0,0,1,50,2
56,3,1,0,0,0,1,50,2
49,1,1,0,0,1,1,40,1
55,0,1,0,0,0,1,56,2
22,0,1,1,1,0,1,41,2
21,0,1,1,3,0,2,40,2
40,0,1,0,0,0,1,60,2
30,0,1,1,3,1,1,40,2
29,1,1,0,0,0,1,50,1
19,0,1,1,3,1,1,35,2
47,0,1,0,0,0,2,40,1
20,0,1,1,3,0,2,28,2
31,0,1,0,0,0,1,40,1
35,2,1,0,0,0,1,40,2
39,0,1,1,1,0,1,40,2
28,0,1,1,1,0,2,60,2
24,0,1,1,1,0,2,40,2
38,3,1,0,0,0,1,35,2
37,0,1,0,0,0,1,50,2
46,0,1,1,1,1,2,36,2
38,1,1,0,0,0,1,40,1
43,3,1,0,0,0,1,60,2
27,0,1,0,0,0,2,35,2
20,0,1,1,3,0,1,20,2
49,0,1,0,0,2,1,40,1
61,3,1,0,0,0,1,40,2
27,0,1,1,3,0,2,40,2
19,0,1,1,3,0,1,30,2
45,0,1,1,1,0,2,40,1
70,0,1,1,1,0,1,40,2
31,0,1,1,2,1,2,30,2
22,0,1,0,0,0,1,24,2
36,0,1,1,2,0,2,24,2
64,0,0,0,0,0,1,40,2
43,2,1,1,1,0,2,40,2
47,1,1,1,2,0,2,38,2
34,0,1,1,1,0,2,40,2
33,0,1,1,1,2,2,40,2
21,0,1,1,3,0,1,35,2
52,2,1,1,1,0,1,45,1
48,0,1,0,0,0,1,46,2
23,0,1,1,1,0,1,40,2
71,3,1,1,2,1,1,2,2
29,0,1,1,1,0,1,60,2
42,0,1,1,1,1,1,50,2
68,2,0,1,1,0,2,20,2
25,0,1,1,2,0,2,40,2
44,3,1,1,2,2,2,40,2
28,0,1,1,1,2,2,40,2
45,3,1,0,0,0,1,40,1
36,0,1,1,2,0,2,40,2
39,1,1,1,1,0,1,42,2
46,1,1,1,2,0,1,40,2
18,0,0,1,3,0,1,16,2
66,1,1,1,1,0,2,20,2
27,0,1,1,1,0,1,40,2
28,1,1,0,0,0,1,40,2
51,0,1,0,0,0,1,40,1
27,0,1,1,1,0,1,50,2
28,1,1,0,0,0,1,40,1
27,0,1,0,2,0,2,25,2
21,0,1,1,3,1,1,40,2
34,0,1,1,1,1,1,40,2
18,0,1,1,3,0,1,12,2
33,0,1,0,0,0,1,65,2
44,1,1,0,0,1,1,38,1
43,0,1,1,1,0,2,40,2
30,0,1,1,1,1,1,45,2
40,0,0,0,0,0,1,40,1
37,1,1,0,0,0,1,42,1
34,0,1,0,0,1,1,40,2
41,3,1,1,1,0,2,40,2
53,2,1,1,1,0,2,50,2
31,0,1,0,0,0,2,50,2
58,1,1,0,0,0,1,1,1
38,0,1,1,1,1,2,28,2
24,0,1,0,0,0,1,40,2
41,1,1,0,0,1,1,40,2
47,0,1,0,0,0,1,45,2
41,1,1,0,0,0,1,24,2
23,0,0,0,1,0,1,40,2
36,0,1,1,1,0,1,40,2
40,1,1,1,1,0,2,55,1
35,0,1,0,1,0,1,40,1
