,text,clean_text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
10,"RT @suffolkcc: READ: Today's @EADT24 @ipswichstar24 column from @RHopfensperger, Cabinet member for Adult Social Care: Social work can be a�",RT suffolkcc READ Todays EADT ipswichstar column from RHopfensperger Cabinet member for Adult Social Care Social work can be a�,"['rt', 'suffolkcc', 'read', 'todays', 'eadt', 'ipswichstar', 'column', 'from', 'rhopfensperger', 'cabinet', 'member', 'for', 'adult', 'social', 'care', 'social', 'work', 'can', 'be', 'a', '']","['rt', 'suffolkcc', 'read', 'todays', 'eadt', 'ipswichstar', 'column', 'rhopfensperger', 'cabinet', 'member', 'adult', 'social', 'care', 'social', 'work', '']","['rt', 'suffolkcc', 'read', 'today', 'eadt', 'ipswichstar', 'column', 'rhopfensperg', 'cabinet', 'member', 'adult', 'social', 'care', 'social', 'work', '']","['rt', 'suffolkcc', 'read', 'today', 'eadt', 'ipswichstar', 'column', 'rhopfensperger', 'cabinet', 'member', 'adult', 'social', 'care', 'social', 'work', '']"
11,"All of us have our private thoughts, opinions, and secrets. But, for them, the depth between personal and outer sel� https://t.co/wp5qJeleSe",All of us have our private thoughts opinions and secrets But for them the depth between personal and outer sel� httpstcowpqJeleSe,"['all', 'of', 'us', 'have', 'our', 'private', 'thoughts', 'opinions', 'and', 'secrets', 'but', 'for', 'them', 'the', 'depth', 'between', 'personal', 'and', 'outer', 'sel', 'httpstcowpqjelese']","['us', 'private', 'thoughts', 'opinions', 'secrets', 'depth', 'personal', 'outer', 'sel', 'httpstcowpqjelese']","['us', 'privat', 'thought', 'opinion', 'secret', 'depth', 'person', 'outer', 'sel', 'httpstcowpqjeles']","['u', 'private', 'thought', 'opinion', 'secret', 'depth', 'personal', 'outer', 'sel', 'httpstcowpqjelese']"
12,RT @studentswjade: @WlvSocialWork @BASW_UK We would love to hear from any #students interested in getting involved with BASW England�s Stud�,RT studentswjade WlvSocialWork BASWUK We would love to hear from any students interested in getting involved with BASW England�s Stud�,"['rt', 'studentswjade', 'wlvsocialwork', 'baswuk', 'we', 'would', 'love', 'to', 'hear', 'from', 'any', 'students', 'interested', 'in', 'getting', 'involved', 'with', 'basw', 'england', 's', 'stud', '']","['rt', 'studentswjade', 'wlvsocialwork', 'baswuk', 'would', 'love', 'hear', 'students', 'interested', 'getting', 'involved', 'basw', 'england', 'stud', '']","['rt', 'studentswjad', 'wlvsocialwork', 'baswuk', 'would', 'love', 'hear', 'student', 'interest', 'get', 'involv', 'basw', 'england', 'stud', '']","['rt', 'studentswjade', 'wlvsocialwork', 'baswuk', 'would', 'love', 'hear', 'student', 'interested', 'getting', 'involved', 'basw', 'england', 'stud', '']"
13,RT @studentswjade: @WlvSocialWork @BASW_UK We would love to hear from any #students interested in getting involved with BASW England�s Stud�,RT studentswjade WlvSocialWork BASWUK We would love to hear from any students interested in getting involved with BASW England�s Stud�,"['rt', 'studentswjade', 'wlvsocialwork', 'baswuk', 'we', 'would', 'love', 'to', 'hear', 'from', 'any', 'students', 'interested', 'in', 'getting', 'involved', 'with', 'basw', 'england', 's', 'stud', '']","['rt', 'studentswjade', 'wlvsocialwork', 'baswuk', 'would', 'love', 'hear', 'students', 'interested', 'getting', 'involved', 'basw', 'england', 'stud', '']","['rt', 'studentswjad', 'wlvsocialwork', 'baswuk', 'would', 'love', 'hear', 'student', 'interest', 'get', 'involv', 'basw', 'england', 'stud', '']","['rt', 'studentswjade', 'wlvsocialwork', 'baswuk', 'would', 'love', 'hear', 'student', 'interested', 'getting', 'involved', 'basw', 'england', 'stud', '']"
14,@WlvSocialWork @BASW_UK We would love to hear from any #students interested in getting involved with BASW England�s� https://t.co/aMQIM3Ox3Q,WlvSocialWork BASWUK We would love to hear from any students interested in getting involved with BASW England�s� httpstcoaMQIMOxQ,"['wlvsocialwork', 'baswuk', 'we', 'would', 'love', 'to', 'hear', 'from', 'any', 'students', 'interested', 'in', 'getting', 'involved', 'with', 'basw', 'england', 's', 'httpstcoamqimoxq']","['wlvsocialwork', 'baswuk', 'would', 'love', 'hear', 'students', 'interested', 'getting', 'involved', 'basw', 'england', 'httpstcoamqimoxq']","['wlvsocialwork', 'baswuk', 'would', 'love', 'hear', 'student', 'interest', 'get', 'involv', 'basw', 'england', 'httpstcoamqimoxq']","['wlvsocialwork', 'baswuk', 'would', 'love', 'hear', 'student', 'interested', 'getting', 'involved', 'basw', 'england', 'httpstcoamqimoxq']"
15,RT @Mick_Finnegan: They told me I couldn't do it. That my difficult background would stop me from becoming a Social Worker. How wrong they�,RT MickFinnegan They told me I couldnt do it That my difficult background would stop me from becoming a Social Worker How wrong they�,"['rt', 'mickfinnegan', 'they', 'told', 'me', 'i', 'couldnt', 'do', 'it', 'that', 'my', 'difficult', 'background', 'would', 'stop', 'me', 'from', 'becoming', 'a', 'social', 'worker', 'how', 'wrong', 'they', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becom', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']"
16,Don�t miss the chance to apply to this great job w/ @AboutChesapeake. They�re hiring a DIRECTOR of HUMAN SERVICES!� https://t.co/8lkupolxJt,Don�t miss the chance to apply to this great job w AboutChesapeake They�re hiring a DIRECTOR of HUMAN SERVICES� httpstcolkupolxJt,"['don', 't', 'miss', 'the', 'chance', 'to', 'apply', 'to', 'this', 'great', 'job', 'w', 'aboutchesapeake', 'they', 're', 'hiring', 'a', 'director', 'of', 'human', 'services', 'httpstcolkupolxjt']","['miss', 'chance', 'apply', 'great', 'job', 'w', 'aboutchesapeake', 'hiring', 'director', 'human', 'services', 'httpstcolkupolxjt']","['miss', 'chanc', 'appli', 'great', 'job', 'w', 'aboutchesapeak', 'hire', 'director', 'human', 'servic', 'httpstcolkupolxjt']","['miss', 'chance', 'apply', 'great', 'job', 'w', 'aboutchesapeake', 'hiring', 'director', 'human', 'service', 'httpstcolkupolxjt']"
17,The flow of life begins with the awareness that you can not control everything that happens inside and outside of y� https://t.co/ZwxtEEuEvH,The flow of life begins with the awareness that you can not control everything that happens inside and outside of y� httpstcoZwxtEEuEvH,"['the', 'flow', 'of', 'life', 'begins', 'with', 'the', 'awareness', 'that', 'you', 'can', 'not', 'control', 'everything', 'that', 'happens', 'inside', 'and', 'outside', 'of', 'y', 'httpstcozwxteeuevh']","['flow', 'life', 'begins', 'awareness', 'control', 'everything', 'happens', 'inside', 'outside', 'httpstcozwxteeuevh']","['flow', 'life', 'begin', 'awar', 'control', 'everyth', 'happen', 'insid', 'outsid', 'httpstcozwxteeuevh']","['flow', 'life', 'begin', 'awareness', 'control', 'everything', 'happens', 'inside', 'outside', 'httpstcozwxteeuevh']"
18,RT @uofsccosw: Want to talk to other social workers in SC? Join the Knowledge Empowerment Mentorship Event (KEM) on  Sept. 20 for an opport�,RT uofsccosw Want to talk to other social workers in SC Join the Knowledge Empowerment Mentorship Event KEM on  Sept  for an opport�,"['rt', 'uofsccosw', 'want', 'to', 'talk', 'to', 'other', 'social', 'workers', 'in', 'sc', 'join', 'the', 'knowledge', 'empowerment', 'mentorship', 'event', 'kem', 'on', 'sept', 'for', 'an', 'opport', '']","['rt', 'uofsccosw', 'want', 'talk', 'social', 'workers', 'sc', 'join', 'knowledge', 'empowerment', 'mentorship', 'event', 'kem', 'sept', 'opport', '']","['rt', 'uofsccosw', 'want', 'talk', 'social', 'worker', 'sc', 'join', 'knowledg', 'empower', 'mentorship', 'event', 'kem', 'sept', 'opport', '']","['rt', 'uofsccosw', 'want', 'talk', 'social', 'worker', 'sc', 'join', 'knowledge', 'empowerment', 'mentorship', 'event', 'kem', 'sept', 'opport', '']"
19,"RT @MaggieBagley1: I just published Social Work Supervision https://t.co/bYf6AEa70z 
Here is my contribution to the discussion @LowisCharfe�","RT MaggieBagley I just published Social Work Supervision httpstcobYfAEaz 
Here is my contribution to the discussion LowisCharfe�","['rt', 'maggiebagley', 'i', 'just', 'published', 'social', 'work', 'supervision', 'httpstcobyfaeaz', 'here', 'is', 'my', 'contribution', 'to', 'the', 'discussion', 'lowischarfe', '']","['rt', 'maggiebagley', 'published', 'social', 'work', 'supervision', 'httpstcobyfaeaz', 'contribution', 'discussion', 'lowischarfe', '']","['rt', 'maggiebagley', 'publish', 'social', 'work', 'supervis', 'httpstcobyfaeaz', 'contribut', 'discuss', 'lowischarf', '']","['rt', 'maggiebagley', 'published', 'social', 'work', 'supervision', 'httpstcobyfaeaz', 'contribution', 'discussion', 'lowischarfe', '']"
20,RT @Mick_Finnegan: They told me I couldn't do it. That my difficult background would stop me from becoming a Social Worker. How wrong they�,RT MickFinnegan They told me I couldnt do it That my difficult background would stop me from becoming a Social Worker How wrong they�,"['rt', 'mickfinnegan', 'they', 'told', 'me', 'i', 'couldnt', 'do', 'it', 'that', 'my', 'difficult', 'background', 'would', 'stop', 'me', 'from', 'becoming', 'a', 'social', 'worker', 'how', 'wrong', 'they', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becom', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']"
21,And another fantastic set of students in @UofT_FIFSW afternoon session of AGE 2000. #socialwork #aging What a great start!!,And another fantastic set of students in UofTFIFSW afternoon session of AGE  socialwork aging What a great start,"['and', 'another', 'fantastic', 'set', 'of', 'students', 'in', 'uoftfifsw', 'afternoon', 'session', 'of', 'age', 'socialwork', 'aging', 'what', 'a', 'great', 'start']","['another', 'fantastic', 'set', 'students', 'uoftfifsw', 'afternoon', 'session', 'age', 'socialwork', 'aging', 'great', 'start']","['anoth', 'fantast', 'set', 'student', 'uoftfifsw', 'afternoon', 'session', 'age', 'socialwork', 'age', 'great', 'start']","['another', 'fantastic', 'set', 'student', 'uoftfifsw', 'afternoon', 'session', 'age', 'socialwork', 'aging', 'great', 'start']"
22,Can anyone else relate? @veronicadearly <U+0001F923><U+0001F440> #student #socialwork https://t.co/Q2GqWpkL6V,Can anyone else relate veronicadearly UFUF student socialwork httpstcoQGqWpkLV,"['can', 'anyone', 'else', 'relate', 'veronicadearly', 'ufuf', 'student', 'socialwork', 'httpstcoqgqwpklv']","['anyone', 'else', 'relate', 'veronicadearly', 'ufuf', 'student', 'socialwork', 'httpstcoqgqwpklv']","['anyon', 'els', 'relat', 'veronicadearli', 'ufuf', 'student', 'socialwork', 'httpstcoqgqwpklv']","['anyone', 'else', 'relate', 'veronicadearly', 'ufuf', 'student', 'socialwork', 'httpstcoqgqwpklv']"
23,RT @SingleDadSW: My Top 5 Placement Tips for my amazing followers <U+0001F468><U+200D><U+0001F467><U+0001F306> <U+0001F381> #socialwork #students https://t.co/cHol1ZGnlF,RT SingleDadSW My Top  Placement Tips for my amazing followers UFUDUFUF UF socialwork students httpstcocHolZGnlF,"['rt', 'singledadsw', 'my', 'top', 'placement', 'tips', 'for', 'my', 'amazing', 'followers', 'ufudufuf', 'uf', 'socialwork', 'students', 'httpstcocholzgnlf']","['rt', 'singledadsw', 'top', 'placement', 'tips', 'amazing', 'followers', 'ufudufuf', 'uf', 'socialwork', 'students', 'httpstcocholzgnlf']","['rt', 'singledadsw', 'top', 'placement', 'tip', 'amaz', 'follow', 'ufudufuf', 'uf', 'socialwork', 'student', 'httpstcocholzgnlf']","['rt', 'singledadsw', 'top', 'placement', 'tip', 'amazing', 'follower', 'ufudufuf', 'uf', 'socialwork', 'student', 'httpstcocholzgnlf']"
24,RT @CASW_ACTS: Check out this panel happening Sept 23 at 11:00am ET -- Economic Abuse: Pathways to Recovery Through Policy. @ccfwe #SocialW�,RT CASWACTS Check out this panel happening Sept  at am ET  Economic Abuse Pathways to Recovery Through Policy ccfwe SocialW�,"['rt', 'caswacts', 'check', 'out', 'this', 'panel', 'happening', 'sept', 'at', 'am', 'et', 'economic', 'abuse', 'pathways', 'to', 'recovery', 'through', 'policy', 'ccfwe', 'socialw', '']","['rt', 'caswacts', 'check', 'panel', 'happening', 'sept', 'et', 'economic', 'abuse', 'pathways', 'recovery', 'policy', 'ccfwe', 'socialw', '']","['rt', 'caswact', 'check', 'panel', 'happen', 'sept', 'et', 'econom', 'abus', 'pathway', 'recoveri', 'polici', 'ccfwe', 'socialw', '']","['rt', 'caswacts', 'check', 'panel', 'happening', 'sept', 'et', 'economic', 'abuse', 'pathway', 'recovery', 'policy', 'ccfwe', 'socialw', '']"
25,Check out this panel happening Sept 23 at 11:00am ET -- Economic Abuse: Pathways to Recovery Through Policy. @ccfwe� https://t.co/Acv2K6MzGg,Check out this panel happening Sept  at am ET  Economic Abuse Pathways to Recovery Through Policy ccfwe� httpstcoAcvKMzGg,"['check', 'out', 'this', 'panel', 'happening', 'sept', 'at', 'am', 'et', 'economic', 'abuse', 'pathways', 'to', 'recovery', 'through', 'policy', 'ccfwe', 'httpstcoacvkmzgg']","['check', 'panel', 'happening', 'sept', 'et', 'economic', 'abuse', 'pathways', 'recovery', 'policy', 'ccfwe', 'httpstcoacvkmzgg']","['check', 'panel', 'happen', 'sept', 'et', 'econom', 'abus', 'pathway', 'recoveri', 'polici', 'ccfwe', 'httpstcoacvkmzgg']","['check', 'panel', 'happening', 'sept', 'et', 'economic', 'abuse', 'pathway', 'recovery', 'policy', 'ccfwe', 'httpstcoacvkmzgg']"
26,Suicide rates increased 33% between 1999 and 2019. -CDC It increased by a third! Thats huge! If you or anyone you k� https://t.co/AXz7DDchZM,Suicide rates increased  between  and  CDC It increased by a third Thats huge If you or anyone you k� httpstcoAXzDDchZM,"['suicide', 'rates', 'increased', 'between', 'and', 'cdc', 'it', 'increased', 'by', 'a', 'third', 'thats', 'huge', 'if', 'you', 'or', 'anyone', 'you', 'k', 'httpstcoaxzddchzm']","['suicide', 'rates', 'increased', 'cdc', 'increased', 'third', 'thats', 'huge', 'anyone', 'k', 'httpstcoaxzddchzm']","['suicid', 'rate', 'increas', 'cdc', 'increas', 'third', 'that', 'huge', 'anyon', 'k', 'httpstcoaxzddchzm']","['suicide', 'rate', 'increased', 'cdc', 'increased', 'third', 'thats', 'huge', 'anyone', 'k', 'httpstcoaxzddchzm']"
27,RT @DeclanMcAll: A short video on the importance of maintaining registration for #socialwork and #socialcare workers,RT DeclanMcAll A short video on the importance of maintaining registration for socialwork and socialcare workers,"['rt', 'declanmcall', 'a', 'short', 'video', 'on', 'the', 'importance', 'of', 'maintaining', 'registration', 'for', 'socialwork', 'and', 'socialcare', 'workers']","['rt', 'declanmcall', 'short', 'video', 'importance', 'maintaining', 'registration', 'socialwork', 'socialcare', 'workers']","['rt', 'declanmcal', 'short', 'video', 'import', 'maintain', 'registr', 'socialwork', 'socialcar', 'worker']","['rt', 'declanmcall', 'short', 'video', 'importance', 'maintaining', 'registration', 'socialwork', 'socialcare', 'worker']"
28,RT @Mick_Finnegan: They told me I couldn't do it. That my difficult background would stop me from becoming a Social Worker. How wrong they�,RT MickFinnegan They told me I couldnt do it That my difficult background would stop me from becoming a Social Worker How wrong they�,"['rt', 'mickfinnegan', 'they', 'told', 'me', 'i', 'couldnt', 'do', 'it', 'that', 'my', 'difficult', 'background', 'would', 'stop', 'me', 'from', 'becoming', 'a', 'social', 'worker', 'how', 'wrong', 'they', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becom', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']"
29,A short video on the importance of maintaining registration for #socialwork and #socialcare workers https://t.co/kMoIhDkTr5,A short video on the importance of maintaining registration for socialwork and socialcare workers httpstcokMoIhDkTr,"['a', 'short', 'video', 'on', 'the', 'importance', 'of', 'maintaining', 'registration', 'for', 'socialwork', 'and', 'socialcare', 'workers', 'httpstcokmoihdktr']","['short', 'video', 'importance', 'maintaining', 'registration', 'socialwork', 'socialcare', 'workers', 'httpstcokmoihdktr']","['short', 'video', 'import', 'maintain', 'registr', 'socialwork', 'socialcar', 'worker', 'httpstcokmoihdktr']","['short', 'video', 'importance', 'maintaining', 'registration', 'socialwork', 'socialcare', 'worker', 'httpstcokmoihdktr']"
30,RT @Mick_Finnegan: They told me I couldn't do it. That my difficult background would stop me from becoming a Social Worker. How wrong they�,RT MickFinnegan They told me I couldnt do it That my difficult background would stop me from becoming a Social Worker How wrong they�,"['rt', 'mickfinnegan', 'they', 'told', 'me', 'i', 'couldnt', 'do', 'it', 'that', 'my', 'difficult', 'background', 'would', 'stop', 'me', 'from', 'becoming', 'a', 'social', 'worker', 'how', 'wrong', 'they', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becom', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']"
31,"New #support group! Visit https://t.co/akKSKeaQng for more info! 
#naswnewmexico #socialwork https://t.co/q1ZGAtfavy","New support group Visit httpstcoakKSKeaQng for more info 
naswnewmexico socialwork httpstcoqZGAtfavy","['new', 'support', 'group', 'visit', 'httpstcoakkskeaqng', 'for', 'more', 'info', 'naswnewmexico', 'socialwork', 'httpstcoqzgatfavy']","['new', 'support', 'group', 'visit', 'httpstcoakkskeaqng', 'info', 'naswnewmexico', 'socialwork', 'httpstcoqzgatfavy']","['new', 'support', 'group', 'visit', 'httpstcoakkskeaqng', 'info', 'naswnewmexico', 'socialwork', 'httpstcoqzgatfavi']","['new', 'support', 'group', 'visit', 'httpstcoakkskeaqng', 'info', 'naswnewmexico', 'socialwork', 'httpstcoqzgatfavy']"
32,"RT @Amanda__Grenier: Delighted to meet the incoming morning @UofT_FIFSW AGE 2000 class. They have such exciting disciplinary, personal, and�",RT AmandaGrenier Delighted to meet the incoming morning UofTFIFSW AGE  class They have such exciting disciplinary personal and�,"['rt', 'amandagrenier', 'delighted', 'to', 'meet', 'the', 'incoming', 'morning', 'uoftfifsw', 'age', 'class', 'they', 'have', 'such', 'exciting', 'disciplinary', 'personal', 'and', '']","['rt', 'amandagrenier', 'delighted', 'meet', 'incoming', 'morning', 'uoftfifsw', 'age', 'class', 'exciting', 'disciplinary', 'personal', '']","['rt', 'amandagreni', 'delight', 'meet', 'incom', 'morn', 'uoftfifsw', 'age', 'class', 'excit', 'disciplinari', 'person', '']","['rt', 'amandagrenier', 'delighted', 'meet', 'incoming', 'morning', 'uoftfifsw', 'age', 'class', 'exciting', 'disciplinary', 'personal', '']"
