age, workclass, fnlwgt, education, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
43, Private,117037,School,7, Married, Transport-moving, Husband, White, Male,0,2042,40, United-States,poor
59, Private,109015,College,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States,poor
56,Government,216851,University,13, Married, Tech-support, Husband, White, Male,0,0,40, United-States,rich
19, Private,168294,College,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,poor
39, Private,367260,College,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, United-States,poor
49, Private,193366,College,9, Married, Craft-repair, Husband, White, Male,0,0,40, United-States,poor
23,Government,190709,College,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, United-States,poor
20, Private,266015,College,10, Never-married, Sales, Own-child, Black, Male,0,0,44, United-States,poor
45, Private,386940,University,13, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, United-States,poor
30,Government,59951,College,10, Married, Adm-clerical, Own-child, White, Male,0,0,40, United-States,poor
22,Government,311512,College,10, Married, Other-service, Husband, Black, Male,0,0,15, United-States,poor
48, Private,242406,School,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico,poor
21, Private,197200,College,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,poor
19, Private,544091,College,9, Married, Adm-clerical, Wife, White, Female,0,0,25, United-States,poor
48,Self-employed,265477,College,12, Married, Prof-specialty, Husband, White, Male,0,0,40, United-States,poor
31, Private,507875,School,5, Married, Machine-op-inspct, Husband, White, Male,0,0,43, United-States,poor
53,Self-employed,88506,University,13, Married, Prof-specialty, Husband, White, Male,0,0,40, United-States,poor
24, Private,172987,University,13, Married, Tech-support, Husband, White, Male,0,0,50, United-States,poor
49, Private,94638,College,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,poor
25, Private,289980,College,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States,poor
57,Government,337895,University,13, Married, Prof-specialty, Husband, Black, Male,0,0,40, United-States,rich
53, Private,144361,College,9, Married, Machine-op-inspct, Husband, White, Male,0,0,38, United-States,poor
44, Private,128354,University,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,poor
41,Government,101603,College,11, Married, Craft-repair, Husband, White, Male,0,0,40, United-States,poor
29, Private,271466,College,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States,poor
25, Private,32275,College,10, Married, Exec-managerial, Wife, Other, Female,0,0,40, United-States,poor
47, Private,51835,School,15, Married, Prof-specialty, Wife, White, Female,0,1902,60, Honduras,rich
50,Government,251585,University,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States,rich
47,Self-employed,109832,College,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States,poor
43, Private,237993,College,10, Married, Tech-support, Husband, White, Male,0,0,40, United-States,rich
46, Private,216666,School,3, Married, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,poor
35, Private,56352,College,11, Married, Other-service, Husband, White, Male,0,0,40, Puerto-Rico,poor
41, Private,147372,College,9, Married, Adm-clerical, Husband, White, Male,0,0,48, United-States,poor
30, Private,188146,College,9, Married, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States,poor
30, Private,59496,University,13, Married, Sales, Husband, White, Male,2407,0,40, United-States,poor
48, Private,149640,College,9, Married, Transport-moving, Husband, White, Male,0,0,40, United-States,poor
42, Private,116632,University,16, Married, Prof-specialty, Husband, White, Male,0,0,45, United-States,rich
29, Private,105598,College,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States,poor
36, Private,155537,College,9, Married, Craft-repair, Husband, White, Male,0,0,40, United-States,poor
28, Private,183175,College,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,poor
53, Private,169846,College,9, Married, Adm-clerical, Wife, White, Female,0,0,40, United-States,rich
49,Self-employed,191681,College,10, Married, Exec-managerial, Husband, White, Male,0,0,50, United-States,rich
19, Private,101509,College,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States,poor
31, Private,309974,University,13, Divorced, Sales, Own-child, Black, Female,0,0,40, United-States,poor
29,Self-employed,162298,University,13, Married, Sales, Husband, White, Male,0,0,70, United-States,rich
23, Private,211678,College,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,poor
79, Private,124744,College,10, Married, Prof-specialty, Other-relative, White, Male,0,0,20, United-States,poor
27, Private,213921,College,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico,poor
40, Private,32214,College,12, Married, Adm-clerical, Husband, White, Male,0,0,40, United-States,poor
18, Private,309634,School,7, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States,poor
31,Government,125927,School,4, Married, Farming-fishing, Husband, White, Male,0,0,40, United-States,poor
18, Private,446839,College,9, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States,poor
52, Private,276515,University,13, Married, Other-service, Husband, White, Male,0,0,40, Cuba,poor
46, Private,51618,College,9, Married, Other-service, Wife, White, Female,0,0,40, United-States,poor
59, Private,159937,College,9, Married, Sales, Husband, White, Male,0,0,48, United-States,poor
44, Private,343591,College,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States,rich
53, Private,346253,College,9, Divorced, Sales, Own-child, White, Female,0,0,35, United-States,poor
49,Government,268234,College,9, Married, Protective-serv, Husband, White, Male,0,0,40, United-States,rich
33, Private,202051,University,14, Married, Prof-specialty, Husband, White, Male,0,0,50, United-States,poor
30, Private,54334,School,5, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,poor
43,Government,410867,University,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,rich
57, Private,249977,College,11, Married, Prof-specialty, Husband, White, Male,0,0,40, United-States,poor
37, Private,286730,College,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States,poor
28, Private,212563,College,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States,poor
34,Government,226296,University,13, Married, Protective-serv, Husband, White, Male,0,0,40, United-States,rich
29,Government,115585,College,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States,poor
48,Self-employed,191277,University,16, Married, Prof-specialty, Husband, White, Male,0,1902,60, United-States,rich
37, Private,202683,College,10, Married, Sales, Husband, White, Male,0,0,48, United-States,rich
48, Private,171095,College,12, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, England,poor
32,Government,249409,College,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States,poor
76, Private,124191,University,14, Married, Exec-managerial, Husband, White, Male,0,0,40, United-States,rich
44, Private,198282,University,13, Married, Exec-managerial, Husband, White, Male,15024,0,60, United-States,rich
47,Self-employed,149116,University,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,poor
20, Private,188300,College,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States,poor
29, Private,103432,College,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,poor
32,Self-employed,317660,College,9, Married, Craft-repair, Husband, White, Male,7688,0,40, United-States,rich
30, Private,194901,School,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,poor
31,Government,189265,College,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,poor
42, Private,124692,College,9, Married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,poor
24, Private,432376,University,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States,poor
38, Private,65324,School,15, Married, Prof-specialty, Husband, White, Male,0,0,40, United-States,rich
56,Self-employed,335605,College,9, Married, Other-service, Husband, White, Male,0,1887,50, Canada,rich
28, Private,377869,College,10, Married, Sales, Wife, White, Female,4064,0,25, United-States,poor
36, Private,102864,College,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,poor
53, Private,95647,School,5, Married, Handlers-cleaners, Husband, White, Male,0,0,50, United-States,poor
56,Self-employed,303090,College,10, Married, Sales, Husband, White, Male,0,0,50, United-States,poor
49,Government,197371,College,11, Married, Craft-repair, Husband, Black, Male,0,0,40, United-States,rich
55, Private,247552,College,10, Married, Sales, Husband, White, Male,0,0,56, United-States,poor
22, Private,102632,College,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41, United-States,poor
21, Private,199915,College,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,poor
40, Private,118853,University,13, Married, Exec-managerial, Husband, White, Male,0,0,60, United-States,poor
30, Private,77143,University,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany,poor
29,Government,267989,University,13, Married, Prof-specialty, Husband, White, Male,0,0,50, United-States,rich
19, Private,301606,College,10, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States,poor
47, Private,287828,University,13, Married, Exec-managerial, Wife, White, Female,0,0,40, United-States,rich
20, Private,111697,College,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28, United-States,poor
31, Private,114937,College,12, Married, Adm-clerical, Husband, White, Male,0,0,40, United-States,rich
39, Private,365739,College,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,poor
28, Private,69621,College,12, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States,poor
24, Private,43323,College,9, Never-married, Other-service, Not-in-family, White, Female,0,1762,40, United-States,poor
38,Self-employed,120985,College,9, Married, Craft-repair, Husband, White, Male,4386,0,35, United-States,poor
37, Private,254202,University,13, Married, Sales, Husband, White, Male,0,0,50, United-States,poor
46, Private,146195,College,12, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, United-States,poor
38,Government,125933,University,14, Married, Prof-specialty, Husband, White, Male,0,0,40, Iran,rich
43,Self-employed,56920,College,9, Married, Craft-repair, Husband, White, Male,0,0,60, United-States,poor
27, Private,163127,College,11, Married, Adm-clerical, Wife, White, Female,0,0,35, United-States,poor
20, Private,34310,College,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States,poor
49, Private,81973,College,10, Married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,rich
61,Self-employed,66614,College,9, Married, Craft-repair, Husband, White, Male,0,0,40, United-States,poor
27, Private,232782,College,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,poor
19, Private,316868,College,10, Never-married, Other-service, Own-child, White, Male,0,0,30, Mexico,poor
45, Private,196584,College,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40, United-States,rich
70, Private,105376,College,10, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States,poor
31, Private,185814,College,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, United-States,poor
22, Private,175374,College,10, Married, Other-service, Husband, White, Male,0,0,24, United-States,poor
36, Private,108293,College,9, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States,poor
64, Private,181232,School,7, Married, Craft-repair, Husband, White, Male,0,2179,40, United-States,poor
47,Government,186009,College,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico,poor
34, Private,198183,College,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,poor
33, Private,163003,University,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines,poor
21, Private,296158,College,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States,poor
48, Private,187715,College,9, Married, Craft-repair, Husband, White, Male,0,0,46, United-States,poor
23, Private,214542,University,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,poor
71,Self-employed,494223,College,10, Divorced, Sales, Unmarried, Black, Male,0,1816,2, United-States,poor
29, Private,191535,College,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,poor
42, Private,228456,University,13, Divorced, Other-service, Other-relative, Black, Male,0,0,50, United-States,poor
25, Private,252752,College,9, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States,poor
44,Self-employed,78374,University,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States,poor
28, Private,88419,College,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England,poor
45,Self-employed,201080,University,14, Married, Sales, Husband, White, Male,0,0,40, United-States,rich
36, Private,207157,College,10, Divorced, Other-service, Unmarried, White, Female,0,0,40, Mexico,poor
39,Government,235485,College,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States,poor
46,Government,102628,University,14, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States,poor
18, Private,25828,School,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States,poor
66,Government,54826,College,11, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States,poor
27, Private,124953,College,9, Never-married, Other-service, Not-in-family, White, Male,0,1980,40, United-States,poor
28,Government,175325,College,9, Married, Protective-serv, Husband, White, Male,0,0,40, United-States,poor
51, Private,96062,College,10, Married, Sales, Husband, White, Male,0,1977,40, United-States,rich
27, Private,428030,University,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States,poor
28,Government,149624,University,13, Married, Prof-specialty, Husband, White, Male,0,0,40, United-States,rich
27, Private,253814,College,9, Married, Sales, Unmarried, White, Female,0,0,25, United-States,poor
21, Private,312956,College,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States,poor
34, Private,483777,College,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States,poor
18, Private,183930,College,9, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States,poor
33, Private,37274,University,13, Married, Prof-specialty, Husband, White, Male,0,0,65, United-States,poor
44,Government,181344,College,10, Married, Exec-managerial, Husband, Black, Male,0,0,38, United-States,rich
43, Private,114580,College,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,poor
30, Private,633742,College,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States,poor
40, Private,286370,School,4, Married, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,rich
37,Government,29054,College,10, Married, Adm-clerical, Husband, White, Male,0,0,42, United-States,rich
34, Private,304030,College,9, Married, Adm-clerical, Husband, Black, Male,0,0,40, United-States,poor
41,Self-employed,143129,University,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,poor
31, Private,99928,University,14, Married, Prof-specialty, Wife, White, Female,0,0,50, United-States,poor
58,Government,109567,University,16, Married, Prof-specialty, Husband, White, Male,0,0,1, United-States,rich
38, Private,155222,College,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States,poor
24, Private,159567,College,10, Married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,poor
41,Government,523910,University,13, Married, Craft-repair, Husband, Black, Male,0,0,40, United-States,poor
47, Private,120939,College,10, Married, Tech-support, Husband, White, Male,0,0,45, United-States,poor
41,Government,130760,University,13, Married, Tech-support, Husband, White, Male,0,0,24, United-States,poor
23, Private,197387,School,3, Married, Transport-moving, Other-relative, White, Male,0,0,40, Mexico,poor
36, Private,99374,College,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,poor
40,Government,56795,University,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55, United-States,rich
35, Private,138992,University,14, Married, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States,rich
24,Self-employed,32921,College,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,poor
26, Private,397317,University,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,40, United-States,poor
51, Private,259323,University,13, Married, Exec-managerial, Husband, White, Male,0,0,50, United-States,rich
42,Government,254817,College,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,40, United-States,poor
37,Government,48211,College,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States,poor
18, Private,140164,School,7, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,poor
36, Private,128757,University,13, Married, Other-service, Husband, Black, Male,7298,0,36, United-States,rich
35, Private,36270,College,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,poor
58,Self-employed,210563,College,9, Married, Sales, Wife, White, Female,15024,0,35, United-States,rich
17, Private,65368,School,7, Never-married, Sales, Own-child, White, Female,0,0,12, United-States,poor
44,Government,160943,College,9, Married, Transport-moving, Husband, Black, Male,0,0,40, United-States,poor
37, Private,208358,College,9, Married, Craft-repair, Husband, White, Male,0,0,40, United-States,rich
35, Private,153790,College,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States,poor
60, Private,85815,College,9, Married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,poor
54,Self-employed,125417,School,4, Married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,rich
37, Private,635913,University,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States,rich
50, Private,313321,College,12, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States,poor
38, Private,182609,University,13, Married, Sales, Husband, White, Male,0,0,50, Poland,poor
45, Private,109434,University,13, Married, Prof-specialty, Husband, White, Male,0,0,55, United-States,poor
25, Private,255004,School,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,poor
31, Private,197860,College,10, Married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,poor
90, Private,51744,College,9, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40, United-States,poor
54, Private,176681,College,9, Married, Adm-clerical, Husband, Black, Male,0,0,20, United-States,poor
53,Government,140359,School,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States,poor
18, Private,243313,College,9, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,poor
66,Self-employed,167687,College,9, Married, Farming-fishing, Husband, White, Male,1409,0,50, United-States,poor
75, Private,314209,College,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Columbia,poor
65, Private,176796,College,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,poor
35, Private,538583,School,7, Divorced, Transport-moving, Not-in-family, Black, Male,3674,0,40, United-States,poor
41, Private,130408,College,9, Divorced, Sales, Unmarried, Black, Female,0,0,38, United-States,poor
25, Private,159732,College,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42, United-States,poor
33, Private,110978,College,10, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, United-States,poor
28, Private,76714,School,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States,rich
59,Government,268700,College,9, Married, Other-service, Husband, White, Male,0,0,40, United-States,poor
40,Government,170525,College,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States,poor
41, Private,180138,University,13, Married, Exec-managerial, Husband, White, Male,0,0,50, Iran,rich
38,Government,115076,University,14, Married, Exec-managerial, Husband, White, Male,0,0,70, United-States,rich
23, Private,115458,College,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,poor
40, Private,347890,University,13, Married, Prof-specialty, Husband, White, Male,0,0,40, United-States,rich
41,Self-employed,196001,College,9, Married, Other-service, Wife, White, Female,0,0,20, United-States,poor
24,Government,273905,College,12, Married, Protective-serv, Husband, White, Male,0,0,50, United-States,poor
38, Private,179488,College,10, Divorced, Craft-repair, Not-in-family, White, Male,0,1741,40, United-States,poor
58, Private,236596,College,9, Married, Adm-clerical, Husband, White, Male,0,0,45, United-States,rich
32, Private,183916,College,9, Never-married, Other-service, Not-in-family, White, Female,0,0,34, United-States,poor
40, Private,207578,College,12, Married, Tech-support, Husband, White, Male,0,1977,60, United-States,rich
41, Private,112763,School,15, Married, Prof-specialty, Wife, White, Female,0,0,40, United-States,rich
42, Private,390781,University,13, Married, Adm-clerical, Wife, Black, Female,0,0,40, United-States,poor
59,Government,171328,School,6, Widowed, Other-service, Unmarried, Black, Female,0,0,30, United-States,poor
19,Government,27382,College,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States,poor
58, Private,259014,College,10, Never-married, Transport-moving, Not-in-family, White, Male,0,0,20, United-States,poor
42,Self-employed,303044,College,9, Married, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia,rich
20, Private,117789,College,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,poor
32, Private,172579,College,9, Divorced, Other-service, Not-in-family, White, Female,0,0,30, United-States,poor
45, Private,187666,College,11, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States,poor
50, Private,204518,School,4, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,poor
36, Private,150042,University,13, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States,poor
45, Private,98092,College,9, Married, Sales, Husband, White, Male,0,0,60, United-States,poor
17, Private,245918,School,7, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States,poor
59, Private,146013,College,10, Married, Sales, Husband, White, Male,4064,0,40, United-States,poor
26, Private,378322,School,7, Married, Craft-repair, Husband, White, Male,0,0,40, United-States,poor
37,Self-employed,257295,College,10, Married, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,75, Thailand,rich
64, Private,21174,College,9, Married, Exec-managerial, Husband, White, Male,0,0,40, United-States,rich
33, Private,185480,University,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States,poor
33, Private,222205,College,9, Married, Craft-repair, Wife, White, Female,0,0,40, United-States,rich
61, Private,69867,College,9, Married, Exec-managerial, Husband, White, Male,0,0,40, United-States,rich
17, Private,191260,School,5, Never-married, Other-service, Own-child, White, Male,1055,0,24, United-States,poor
50,Self-employed,30653,University,14, Married, Farming-fishing, Husband, White, Male,2407,0,98, United-States,poor
27,Government,209109,University,14, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States,poor
30, Private,70377,College,9, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States,poor
43, Private,477983,College,9, Married, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,poor
44, Private,170924,College,10, Married, Craft-repair, Husband, White, Male,7298,0,40, United-States,rich
35, Private,190174,College,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,poor
25, Private,193787,College,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States,poor
24, Private,279472,College,10, Married, Machine-op-inspct, Wife, White, Female,7298,0,48, United-States,rich
22, Private,34918,University,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15, Germany,poor
42,Government,97688,College,10, Married, Craft-repair, Husband, White, Male,5178,0,40, United-States,rich
34, Private,175413,College,12, Divorced, Sales, Unmarried, Black, Female,0,0,45, United-States,poor
60, Private,173960,University,13, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,42, United-States,poor
21, Private,205759,College,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,poor
57,Government,425161,University,14, Married, Sales, Husband, White, Male,15024,0,40, United-States,rich
41, Private,220531,School,15, Married, Prof-specialty, Husband, White, Male,0,0,60, United-States,rich
50, Private,176609,College,10, Divorced, Other-service, Not-in-family, White, Male,0,0,45, United-States,poor
25, Private,371987,University,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,poor
50, Private,193884,School,4, Married, Craft-repair, Husband, White, Male,0,0,40, Ecuador,poor
36, Private,200352,University,13, Married, Prof-specialty, Husband, White, Male,0,0,45, United-States,poor
31, Private,127595,College,9, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,poor
29,Government,220419,University,13, Never-married, Protective-serv, Not-in-family, White, Male,0,0,56, United-States,poor
21, Private,231931,College,10, Never-married, Sales, Own-child, White, Male,0,0,45, United-States,poor
27, Private,248402,University,13, Never-married, Tech-support, Unmarried, Black, Female,0,0,40, United-States,poor
65, Private,111095,College,9, Married, Transport-moving, Husband, White, Male,0,0,16, United-States,poor
37,Self-employed,57424,University,13, Divorced, Sales, Not-in-family, White, Female,0,0,60, United-States,poor
24, Private,278130,College,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,poor
38, Private,169469,College,9, Divorced, Sales, Not-in-family, White, Male,0,0,80, United-States,poor
48, Private,146268,University,13, Married, Adm-clerical, Husband, White, Male,7688,0,40, United-States,rich
21, Private,153718,College,10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States,poor
31, Private,217460,College,9, Married, Transport-moving, Husband, White, Male,0,0,45, United-States,rich
55, Private,238638,College,9, Married, Sales, Husband, White, Male,4386,0,40, United-States,rich
24, Private,303296,College,10, Married, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, Laos,poor
43, Private,173321,College,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,poor
26, Private,193945,College,12, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, United-States,poor
46, Private,83082,College,12, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,33, United-States,poor
35, Private,193815,College,12, Married, Adm-clerical, Husband, White, Male,0,0,40, United-States,rich
41,Self-employed,34987,College,10, Married, Farming-fishing, Husband, White, Male,0,0,54, United-States,rich
26, Private,59306,University,13, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,poor
34, Private,142897,University,14, Married, Exec-managerial, Husband, Asian-Pac-Islander, Male,7298,0,35, Taiwan,rich
36,Self-employed,205607,University,13, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States,rich
22, Private,199698,College,10, Never-married, Sales, Own-child, White, Male,0,0,15, United-States,poor
